"shapeid","osm_id","name","ref","type","oneway","bridge","maxspeed"
"221","231811914","Carrer del Prat Gran","NULL","residential","1","0","NULL"
"222","231811916","Carrer Santa Anna","NULL","residential","1","0","NULL"
"223","231811917","Avinguda Carlemany","NULL","primary","0","0","NULL"
"224","231811920","Avinguda de les Escoles","NULL","primary","1","0","NULL"
"225","231823505","Avinguda del Fener","NULL","residential","0","0","NULL"
"226","231823506","Avinguda del Fener","NULL","residential","1","0","NULL"
"227","231823507","Carrer Mossen Guillem Adellach","NULL","residential","1","0","NULL"
"228","231823508","Carrer de l'obac","NULL","residential","1","0","NULL"
"229","234962073","Passage de l'Algueta","NULL","footway","0","0","NULL"
"230","234962702","Carrer d'Emprivat","NULL","footway","0","0","NULL"
"231","235985521","Passatge de Meritxell","NULL","steps","0","0","NULL"
"232","247160947","Carrer Coprincep Francois Miterrand","NULL","residential","0","0","NULL"
"233","247160948","Carrer Coprincep Francois Miterrand","NULL","residential","0","1","NULL"
"234","248002220","Passeig del Valira","NULL","footway","0","0","NULL"
"235","270163512","Cami del Parc Central","NULL","cycleway","0","0","NULL"
"236","270166515","Carrer Josep Cornella Panicello","NULL","residential","0","0","NULL"
